Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
149,33,6,100,5,Some Random Commen with Id 149
150,33,6,64,8,Some Random Commen with Id 150
151,34,3,48,0,Some Random Commen with Id 151
152,34,3,24,4,Some Random Commen with Id 152
153,34,3,36,1,Some Random Commen with Id 153
154,34,3,122,9,Some Random Commen with Id 154
155,34,3,93,7,Some Random Commen with Id 155
156,34,3,119,7,Some Random Commen with Id 156
157,34,3,199,9,Some Random Commen with Id 157
158,34,3,38,1,Some Random Commen with Id 158
159,34,3,55,4,Some Random Commen with Id 159
160,35,4,157,4,Some Random Commen with Id 160
161,35,4,156,7,Some Random Commen with Id 161
162,35,4,79,9,Some Random Commen with Id 162
163,35,4,151,0,Some Random Commen with Id 163
164,36,2,114,2,Some Random Commen with Id 164
165,36,2,121,0,Some Random Commen with Id 165
166,36,2,168,6,Some Random Commen with Id 166
167,36,2,63,5,Some Random Commen with Id 167
168,36,2,95,4,Some Random Commen with Id 168
169,36,2,67,6,Some Random Commen with Id 169
170,36,2,18,4,Some Random Commen with Id 170
171,37,8,170,1,Some Random Commen with Id 171
172,37,8,3,1,Some Random Commen with Id 172
173,37,8,32,7,Some Random Commen with Id 173
174,37,8,176,1,Some Random Commen with Id 174
175,38,3,133,8,Some Random Commen with Id 175
176,38,3,11,3,Some Random Commen with Id 176
177,38,3,59,6,Some Random Commen with Id 177
178,39,7,74,8,Some Random Commen with Id 178
179,39,7,76,2,Some Random Commen with Id 179
